haplogroup,parent
mt-MRCA,
L0,mt-MRCA
L1'2'3'4'5'6,mt-MRCA
L0a'b'f'g'k,L0
L0d,L0
L2'3'4'5'6,L1'2'3'4'5'6
L0a'b'f'g,L0a'b'f'g'k
L0k,L0a'b'f'g'k
L0d1'2,L0d
L0d3,L0d
L2'3'4'6+,L2'3'4'5'6
L1,L2'3'4'5'6
L0a'b'g,L0a'b'f'g
L0f,L0a'b'f'g
L0k1,L0k
L0k2,L0k
L0d1,L0d1'2
L0d2,L0d1'2
L0d3a,L0d3
L0d3b,L0d3
L2'3'4'6,L2'3'4'6+
L5,L2'3'4'6+
L1b,L1
L1c,L1
L0a'g,L0a'b'g
L0b,L0a'b'g
L0f1,L0f
L0f2,L0f
L0k1a,L0k1
L0k1b,L0k1
L0k2a,L0k2
L0k2b,L0k2
L0d1a'c'd,L0d1
L0d1b,L0d1
L0d2a'b'd,L0d2
L0d2c,L0d2
L0d3b1,L0d3b
L0d3b2,L0d3b
L3'4'6,L2'3'4'6
L2,L2'3'4'6
L5a,L5
L5b,L5
L1b1,L1b
L1b2'3,L1b
L1c1'2'4'5'6,L1c
L1c3,L1c
L0a,L0a'g
L0g,L0a'g
L0f2a,L0f2
L0f2b,L0f2
L0k1a1,L0k1a
L0k1a2,L0k1a
L0k1a3,L0k1a
L0k2a1,L0k2a
L0d1a'd,L0d1a'c'd
L0d1c,L0d1a'c'd
L0d1b1,L0d1b
L0d1b2,L0d1b
L0d2a,L0d2a'b'd
L0d2b,L0d2a'b'd
L0d2d,L0d2a'b'd
L0d2c1,L0d2c
L0d2c2,L0d2c
L3'4,L3'4'6
L6,L3'4'6
L2a'b'c'd,L2
L2e,L2
L5a1,L5a
L5a2,L5a
L5b1,L5b
L5b2,L5b
L1b1a,L1b1
L1b2,L1b2'3
L1b3,L1b2'3
L1c1'2'4'6,L1c1'2'4'5'6
L1c5,L1c1'2'4'5'6
L1c3a,L1c3
L1c3b'c,L1c3
L0a1'4,L0a
L0a2,L0a
L0a3,L0a
L0f2a1,L0f2a
L0k1a1a,L0k1a1
L0k1a1b,L0k1a1
L0k1a1c,L0k1a1
L0k1a1d,L0k1a1
L0k1a2a,L0k1a2
L0k2a1a,L0k2a1
L0d1a,L0d1a'd
L0d1d,L0d1a'd
L0d1c1,L0d1c
L0d1c2,L0d1c
L0d1c3,L0d1c
L0d1b1a,L0d1b1
L0d1b1b,L0d1b1
L0d1b1+@152,L0d1b1
L0d1b2a,L0d1b2
L0d1b2b,L0d1b2
L0d2a1,L0d2a
L0d2a2,L0d2a
L0d2b1,L0d2b
L0d2b2,L0d2b
L0d2c1a,L0d2c1
L0d2c1b,L0d2c1
L0d2c2a,L0d2c2
L0d2c2b,L0d2c2
L3,L3'4
L4,L3'4
L6a,L6
L6b,L6
L2a,L2a'b'c'd
L2b'c'd,L2a'b'c'd
L2e1,L2e
L5a1a,L5a1
L5a1b,L5a1
L5a1c,L5a1
L5b1a,L5b1
L5b1b,L5b1
L1b1a1'4,L1b1a
L1b1a2,L1b1a
L1b1a+189,L1b1a
L1b1a5,L1b1a
L1b1a6,L1b1a
L1b1a7,L1b1a
L1b1a8,L1b1a
L1b1a10,L1b1a
L1b1a12,L1b1a
L1b1a13,L1b1a
L1b1a14,L1b1a
L1b1a16,L1b1a
L1b2a,L1b2
L1c1,L1c1'2'4'6
L1c2'4,L1c1'2'4'6
L1c6,L1c1'2'4'6
L1c3a1,L1c3a
L1c3b,L1c3b'c
L1c3c,L1c3b'c
L0a1,L0a1'4
L0a4,L0a1'4
L0a2a,L0a2
L0a2b,L0a2
L0a2c,L0a2
L0a2d,L0a2
L0d1a1,L0d1a
L0d1c1a,L0d1c1
L0d1c2a,L0d1c2
L0d1b1a1,L0d1b1a
L0d1b1b1,L0d1b1b
L0d1b1c,L0d1b1+@152
L0d1b2a1,L0d1b2a
L0d1b2a2,L0d1b2a
L0d1b2b1,L0d1b2b
L0d1b2b2,L0d1b2b
L0d2a1a,L0d2a1
L0d2a1b,L0d2a1
L0d2a1c,L0d2a1
L0d2b1a,L0d2b1
L0d2b1b,L0d2b1
L0d2c1a1,L0d2c1a
L0d2c2a1,L0d2c2a
