position COMBINED_rate(cM/Mb) Genetic_Map(cM)
1 0 1
3 0 3
4 0 4
5 0 5
6 0 6
7 0 7
8 0 8
9 0 9
10 0 10
11 0 11
12 0 12
15 0 15
16 0 16
18 0 18
19 0 19
21 0 21
22 0 22
23 0 23
26 0 26
30 0 30
33 0 33
34 0 34
35 0 35
36 0 36
37 0 37
39 0 39
40 0 40
41 0 41
42 0 42
43 0 43
45 0 45
46 0 46
47 0 47
51 0 51
52 0 52
53 0 53
54 0 54
55 0 55
56 0 56
57 0 57
58 0 58
59 0 59
60 0 60
61 0 61
62 0 62
63 0 63
64 0 64
65 0 65
66 0 66
67 0 67
68 0 68
69 0 69
70 0 70
71 0 71
72 0 72
73 0 73
74 0 74
75 0 75
76 0 76
79 0 79
81 0 81
84 0 84
85 0 85
89 0 89
90 0 90
91 0 91
92 0 92
93 0 93
94 0 94
95 0 95
96 0 96
97 0 97
98 0 98
100 0 100
101 0 101
102 0 102
103 0 103
106 0 106
107 0 107
108 0 108
109 0 109
111 0 111
113 0 113
114 0 114
115 0 115
116 0 116
118 0 118
119 0 119
121 0 121
125 0 125
126 0 126
127 0 127
128 0 128
131 0 131
132 0 132
133 0 133
139 0 139
140 0 140
143 0 143
144 0 144
145 0 145
146 0 146
150 0 150
151 0 151
152 0 152
153 0 153
154 0 154
155 0 155
156 0 156
157 0 157
158 0 158
159 0 159
161 0 161
164 0 164
165 0 165
168 0 168
170 0 170
173 0 173
174 0 174
175 0 175
176 0 176
177 0 177
178 0 178
179 0 179
180 0 180
181 0 181
182 0 182
183 0 183
184 0 184
185 0 185
186 0 186
187 0 187
188 0 188
189 0 189
190 0 190
191 0 191
192 0 192
193 0 193
194 0 194
195 0 195
196 0 196
197 0 197
198 0 198
199 0 199
200 0 200
201 0 201
202 0 202
203 0 203
204 0 204
205 0 205
206 0 206
207 0 207
208 0 208
209 0 209
210 0 210
211 0 211
212 0 212
213 0 213
214 0 214
215 0 215
216 0 216
217 0 217
220 0 220
222 0 222
223 0 223
224 0 224
225 0 225
226 0 226
227 0 227
228 0 228
229 0 229
230 0 230
231 0 231
234 0 234
235 0 235
236 0 236
237 0 237
238 0 238
239 0 239
240 0 240
241 0 241
242 0 242
243 0 243
244 0 244
245 0 245
246 0 246
247 0 247
248 0 248
249 0 249
250 0 250
251 0 251
252 0 252
253 0 253
254 0 254
255 0 255
256 0 256
257 0 257
258 0 258
259 0 259
260 0 260
261 0 261
262 0 262
263 0 263
264 0 264
265 0 265
266 0 266
267 0 267
268 0 268
269 0 269
270 0 270
271 0 271
272 0 272
273 0 273
275 0 275
276 0 276
277 0 277
279 0 279
280 0 280
281 0 281
282 0 282
283 0 283
284 0 284
285 0 285
286 0 286
287 0 287
288 0 288
289 0 289
290 0 290
291 0 291
292 0 292
293 0 293
294 0 294
295 0 295
296 0 296
297 0 297
298 0 298
299 0 299
300 0 300
301 0 301
302 0 302
303 0 303
304 0 304
305 0 305
306 0 306
307 0 307
308 0 308
309 0 309
310 0 310
311 0 311
312 0 312
313 0 313
314 0 314
315 0 315
316 0 316
317 0 317
318 0 318
319 0 319
320 0 320
321 0 321
322 0 322
323 0 323
324 0 324
325 0 325
326 0 326
327 0 327
328 0 328
329 0 329
330 0 330
331 0 331
332 0 332
333 0 333
334 0 334
335 0 335
336 0 336
337 0 337
338 0 338
339 0 339
340 0 340
341 0 341
342 0 342
343 0 343
344 0 344
345 0 345
350 0 350
354 0 354
355 0 355
356 0 356
357 0 357
359 0 359
361 0 361
365 0 365
366 0 366
368 0 368
369 0 369
370 0 370
372 0 372
373 0 373
374 0 374
375 0 375
376 0 376
377 0 377
378 0 378
379 0 379
380 0 380
382 0 382
383 0 383
384 0 384
385 0 385
387 0 387
388 0 388
389 0 389
390 0 390
391 0 391
392 0 392
393 0 393
394 0 394
395 0 395
396 0 396
398 0 398
400 0 400
402 0 402
407 0 407
408 0 408
411 0 411
412 0 412
414 0 414
415 0 415
416 0 416
417 0 417
418 0 418
419 0 419
423 0 423
426 0 426
430 0 430
431 0 431
432 0 432
434 0 434
437 0 437
438 0 438
441 0 441
442 0 442
443 0 443
444 0 444
446 0 446
447 0 447
448 0 448
449 0 449
450 0 450
451 0 451
452 0 452
453 0 453
454 0 454
455 0 455
456 0 456
458 0 458
459 0 459
460 0 460
461 0 461
462 0 462
463 0 463
464 0 464
465 0 465
466 0 466
467 0 467
468 0 468
469 0 469
470 0 470
471 0 471
472 0 472
473 0 473
474 0 474
475 0 475
476 0 476
477 0 477
478 0 478
479 0 479
480 0 480
481 0 481
482 0 482
483 0 483
484 0 484
485 0 485
486 0 486
487 0 487
488 0 488
489 0 489
490 0 490
491 0 491
492 0 492
493 0 493
494 0 494
495 0 495
496 0 496
497 0 497
498 0 498
499 0 499
500 0 500
501 0 501
502 0 502
503 0 503
504 0 504
505 0 505
506 0 506
507 0 507
508 0 508
509 0 509
510 0 510
511 0 511
512 0 512
513 0 513
514 0 514
515 0 515
516 0 516
517 0 517
518 0 518
519 0 519
520 0 520
521 0 521
522 0 522
523 0 523
524 0 524
525 0 525
526 0 526
527 0 527
530 0 530
531 0 531
532 0 532
533 0 533
534 0 534
535 0 535
536 0 536
537 0 537
538 0 538
